episode_index,length_frames,length_seconds
812,1559,51.967
813,1640,54.667
814,2640,88.0
815,1851,61.7
816,2232,74.4
817,1668,55.6
818,1778,59.267
819,1624,54.133
820,1692,56.4
821,1807,60.233
822,1426,47.533
823,1772,59.067
824,1710,57.0
825,1581,52.7
826,1664,55.467
827,1791,59.7
828,1041,34.7
829,2115,70.5
830,1673,55.767
831,1927,64.233
832,1840,61.333
833,1567,52.233
834,1661,55.367
835,1682,56.067
836,1490,49.667
837,1804,60.133
838,1924,64.133
839,1824,60.8
840,1075,35.833
841,2400,80.0
842,2150,71.667
843,1486,49.533
844,1892,63.067
845,1720,57.333
846,1738,57.933
847,1492,49.733
848,1191,39.7
849,1916,63.867
850,1540,51.333
851,1427,47.567
852,1461,48.7
853,1883,62.767
854,1550,51.667
855,1578,52.6
856,1776,59.2
857,1467,48.9
858,1380,46.0
859,1793,59.767
860,1180,39.333
861,1353,45.1
862,1416,47.2
863,1191,39.7
864,1726,57.533
865,2143,71.433
866,1620,54.0
867,1461,48.7
868,1852,61.733
869,1571,52.367
870,1503,50.1
871,2087,69.567
872,1802,60.067
873,1813,60.433
874,2353,78.433
875,1619,53.967
876,1422,47.4
877,1876,62.533
878,1855,61.833
879,1829,60.967
880,1425,47.5
881,1429,47.633
882,1630,54.333
883,1765,58.833
884,1584,52.8
885,1613,53.767
886,1729,57.633
887,1513,50.433
888,1905,63.5
889,1353,45.1
890,1667,55.567
891,1514,50.467
892,1917,63.9
893,1634,54.467
894,1476,49.2
895,1774,59.133
896,1658,55.267
897,1750,58.333
898,2064,68.8
899,1420,47.333
900,1054,35.133
901,1356,45.2
902,1232,41.067
903,1652,55.067
904,1702,56.733
905,1480,49.333
906,1514,50.467
907,1475,49.167
908,1831,61.033
909,1570,52.333
910,1215,40.5
911,1189,39.633
912,1283,42.767
913,1359,45.3
914,1651,55.033
915,1891,63.033
916,1636,54.533
917,1954,65.133
918,2058,68.6
919,1270,42.333
920,1285,42.833
921,1518,50.6
922,1456,48.533
923,1830,61.0
924,1776,59.2
925,1375,45.833
926,1682,56.067
927,1968,65.6
928,1558,51.933
929,1281,42.7
930,2171,72.367
931,1718,57.267
932,1347,44.9
933,1314,43.8
934,1234,41.133
935,1494,49.8
936,1611,53.7
937,1358,45.267
938,1701,56.7
939,1635,54.5
940,1624,54.133
941,1996,66.533
942,1428,47.6
943,1887,62.9
944,1271,42.367
945,1718,57.267
946,1760,58.667
947,1671,55.7
948,2297,76.567
949,1451,48.367
950,944,31.467
951,2343,78.1
952,1653,55.1
953,1371,45.7
954,1755,58.5
955,1865,62.167
956,1771,59.033
957,1721,57.367
958,1733,57.767
959,1696,56.533
960,1706,56.867
961,1300,43.333
962,1417,47.233
963,1139,37.967
964,1985,66.167
965,1792,59.733
966,1526,50.867
967,1928,64.267
968,1560,52.0
969,2136,71.2
970,1439,47.967
971,1715,57.167
972,1495,49.833
973,1538,51.267
974,1341,44.7
975,1533,51.1
976,1605,53.5
977,1727,57.567
978,1945,64.833
979,1973,65.767
980,1665,55.5
981,2151,71.7
982,1230,41.0
983,1788,59.6
984,1313,43.767
985,1835,61.167
986,1480,49.333
987,1784,59.467
988,1671,55.7
989,2041,68.033
990,1749,58.3
991,2223,74.1
992,1872,62.4
993,1946,64.867
994,1448,48.267
995,1428,47.6
996,1430,47.667
997,1373,45.767
998,1779,59.3
999,1562,52.067
1000,1657,55.233
1001,1975,65.833
1002,1447,48.233
1003,1614,53.8
