episode_index,length_frames,length_seconds
527,1801,60.033
528,1757,58.567
529,1463,48.767
530,1853,61.767
531,1559,51.967
532,1864,62.133
533,2087,69.567
534,1693,56.433
535,1570,52.333
536,1353,45.1
537,1467,48.9
538,1620,54.0
539,1929,64.3
540,1444,48.133
541,1353,45.1
542,1602,53.4
543,1791,59.7
544,1501,50.033
545,1952,65.067
546,1612,53.733
547,1667,55.567
548,1592,53.067
549,1404,46.8
550,1628,54.267
551,1660,55.333
552,1733,57.767
553,1664,55.467
554,2224,74.133
555,1853,61.767
556,1887,62.9
557,1805,60.167
558,1951,65.033
559,1686,56.2
560,1802,60.067
561,1908,63.6
562,1736,57.867
563,1923,64.1
564,2008,66.933
565,1506,50.2
566,1685,56.167
567,1755,58.5
568,1848,61.6
569,1706,56.867
570,1753,58.433
571,1401,46.7
572,1666,55.533
573,1922,64.067
574,1864,62.133
575,1460,48.667
576,1618,53.933
577,1925,64.167
578,1850,61.667
579,1914,63.8
580,2297,76.567
581,1959,65.3
582,1982,66.067
583,2198,73.267
584,1758,58.6
585,1924,64.133
586,2148,71.6
587,1473,49.1
588,1462,48.733
589,2466,82.2
590,1975,65.833
591,1713,57.1
592,1973,65.767
593,1651,55.033
594,1999,66.633
595,2444,81.467
596,1433,47.767
597,1399,46.633
598,1608,53.6
599,1756,58.533
600,1769,58.967
601,1614,53.8
602,1461,48.7
603,1740,58.0
604,1914,63.8
605,1996,66.533
606,1498,49.933
607,1491,49.7
608,1823,60.767
609,1567,52.233
610,1914,63.8
611,1771,59.033
612,1447,48.233
613,1538,51.267
614,1705,56.833
615,1996,66.533
616,1448,48.267
617,1624,54.133
618,1495,49.833
619,1661,55.367
620,1727,57.567
621,1663,55.433
622,1581,52.7
623,1461,48.7
624,1422,47.4
625,1923,64.1
626,1687,56.233
627,1638,54.6
628,1702,56.733
629,1380,46.0
630,1555,51.833
631,1550,51.667
632,1876,62.533
633,1900,63.333
634,1682,56.067
635,1733,57.767
636,1495,49.833
637,1687,56.233
638,1480,49.333
